"","Countrycode","Country.or.Area","Subgroup","Source","Year","Value","Region"
"128","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2003,181720,"Europe & Central Asia"
"129","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2000,192213,"Europe & Central Asia"
"130","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2001,195066,"Europe & Central Asia"
"131","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2002,191796,"Europe & Central Asia"
"132","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",2004,195223,"Europe & Central Asia"
"133","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2005,184137,"Europe & Central Asia"
"134","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2001,189099,"Europe & Central Asia"
"135","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",1999,197429,"Europe & Central Asia"
"136","ARM","Armenia","Female","UNESCO_UIS Database_Sep2007",1999,192213,"Europe & Central Asia"
"137","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2000,197429,"Europe & Central Asia"
"138","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2002,185920,"Europe & Central Asia"
"139","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2004,197352,"Europe & Central Asia"
"140","ARM","Armenia","Male","UNESCO_UIS Database_Sep2007",2003,183275,"Europe & Central Asia"
"141","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2000,2625,"Latin America & Caribbean"
"142","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",1999,2625,"Latin America & Caribbean"
"143","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2001,2651,"Latin America & Caribbean"
"144","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2002,2651,"Latin America & Caribbean"
"145","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2003,2651,"Latin America & Caribbean"
"146","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2000,2651,"Latin America & Caribbean"
"147","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2005,2651,"Latin America & Caribbean"
"148","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2005,2625,"Latin America & Caribbean"
"149","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2001,2625,"Latin America & Caribbean"
"150","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",2004,2651,"Latin America & Caribbean"
"151","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2004,2625,"Latin America & Caribbean"
"152","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2003,2625,"Latin America & Caribbean"
"153","ATG","Antigua and Barbuda","Male","UNESCO_UIS Database_Sep2007",2002,2625,"Latin America & Caribbean"
"154","ATG","Antigua and Barbuda","Female","UNESCO_UIS Database_Sep2007",1999,2651,"Latin America & Caribbean"
"155","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2004,1190189,"East Asia & Pacific"
"156","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2000,1266000,"East Asia & Pacific"
"157","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2001,1209601,"East Asia & Pacific"
"158","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2002,1206809,"East Asia & Pacific"
"159","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",1999,1215766,"East Asia & Pacific"
"160","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2004,1302046,"East Asia & Pacific"
"161","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2005,1306286,"East Asia & Pacific"
"162","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2005,1185171,"East Asia & Pacific"
"163","AUS","Australia","Female","UNESCO_UIS Database_Sep2007",2003,1235670,"East Asia & Pacific"
"164","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",1999,1275638,"East Asia & Pacific"
"165","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2000,1323474,"East Asia & Pacific"
"166","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2001,1290075,"East Asia & Pacific"
"167","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2003,1333121,"East Asia & Pacific"
"168","AUS","Australia","Male","UNESCO_UIS Database_Sep2007",2002,1306861,"East Asia & Pacific"
"169","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2003,362790,"Europe & Central Asia"
"170","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",1999,355858,"Europe & Central Asia"
"171","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2000,357194,"Europe & Central Asia"
"172","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2002,359120,"Europe & Central Asia"
"173","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2003,401636,"Europe & Central Asia"
"174","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2004,405511,"Europe & Central Asia"
"175","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2004,364880,"Europe & Central Asia"
"176","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2001,357420,"Europe & Central Asia"
"177","AUT","Austria","Female","UNESCO_UIS Database_Sep2007",2005,371313,"Europe & Central Asia"
"178","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",1999,391823,"Europe & Central Asia"
"179","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2005,409979,"Europe & Central Asia"
"180","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2002,396461,"Europe & Central Asia"
"181","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2001,391715,"Europe & Central Asia"
"182","AUT","Austria","Male","UNESCO_UIS Database_Sep2007",2000,391465,"Europe & Central Asia"
"183","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2003,524535,"Europe & Central Asia"
"184","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",1999,453997,"Europe & Central Asia"
"185","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2002,500117,"Europe & Central Asia"
"186","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2001,490082,"Europe & Central Asia"
"187","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2004,564685,"Europe & Central Asia"
"188","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2004,520947,"Europe & Central Asia"
"189","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2000,462238,"Europe & Central Asia"
"190","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2003,569852,"Europe & Central Asia"
"191","AZE","Azerbaijan","Female","UNESCO_UIS Database_Sep2007",2005,512201,"Europe & Central Asia"
"192","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2005,557779,"Europe & Central Asia"
"193","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2002,540058,"Europe & Central Asia"
"194","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2000,483155,"Europe & Central Asia"
"195","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",2001,530049,"Europe & Central Asia"
"196","AZE","Azerbaijan","Male","UNESCO_UIS Database_Sep2007",1999,475068,"Europe & Central Asia"
"197","BDI","Burundi","Female","UNESCO_UIS Database_Sep2007",2001,56263,"Sub-Saharan Africa"
"198","BDI","Burundi","Male","UNESCO_UIS Database_Sep2007",2000,72941,"Sub-Saharan Africa"
