"Country.or.Area","Subgroup","Source","1999","2000","2001","2002","2003","2004","2005"
"Dominican Republic","Female","UNESCO_UIS Database_Sep2007",335883,357847,408830,411750,408818,424860,436088
"Dominican Republic","Male","UNESCO_UIS Database_Sep2007",274636,295711,343658,346040,343278,357830,372264
"Ecuador","Female","UNESCO_UIS Database_Sep2007",450970,455413,465685,477266,482792,490836,492271
"Ecuador","Male","UNESCO_UIS Database_Sep2007",452599,461832,470721,489096,489985,505699,507442
"Egypt","Female","UNESCO_UIS Database_Sep2007",3585835,3777480,3934216,3936410,3965401,3947348,3847158
"Egypt","Male","UNESCO_UIS Database_Sep2007",4085196,4250690,4389381,4423906,4418664,4382474,4330162
"El Salvador","Female","UNESCO_UIS Database_Sep2007",198091,207035,215660,228566,243634,259562,262054
"El Salvador","Male","UNESCO_UIS Database_Sep2007",207907,213924,219911,232649,244881,260770,262148
"Equatorial Guinea","Female","UNESCO_UIS Database_Sep2007",5413,7770,7710,7710,7710,7710,7710
"Equatorial Guinea","Male","UNESCO_UIS Database_Sep2007",14643,12909,13463,13463,13463,13463,13463
"Eritrea","Female","UNESCO_UIS Database_Sep2007",47183,55626,59059,60071,63293,70175,80712
"Eritrea","Male","UNESCO_UIS Database_Sep2007",68210,79583,83065,92652,97980,123949,136232
"Estonia","Female","UNESCO_UIS Database_Sep2007",58035,58096,58931,60903,61196,61403,61168
"Estonia","Male","UNESCO_UIS Database_Sep2007",57850,58369,60049,62366,61878,62979,63325
"Ethiopia","Female","UNESCO_UIS Database_Sep2007",710235,821634,1021496,1176459,1281435,1484738,1757263
"Ethiopia","Male","UNESCO_UIS Database_Sep2007",1149171,1345961,1671385,1956898,2182151,2435729,2731644
"Federated States of Micronesia","Female","UNESCO_UIS Database_Sep2007",6588,6588,6588,6588,6588,6588,6724
"Federated States of Micronesia","Male","UNESCO_UIS Database_Sep2007",6918,6918,6918,6918,6918,6918,6910
"Fiji","Female","UNESCO_UIS Database_Sep2007",50290,49633,48476,49280,49866,51145,51007
"Fiji","Male","UNESCO_UIS Database_Sep2007",48000,48207,47955,48416,49344,50878,50734
"Finland","Female","UNESCO_UIS Database_Sep2007",244825,250613,253505,254088,255526,213173,215363
"Finland","Male","UNESCO_UIS Database_Sep2007",235057,239841,239682,238669,241308,212793,215233
"France","Female","UNESCO_UIS Database_Sep2007",2910520,2900840,2879761,2868473,2877806,2855175,2955069
"France","Male","UNESCO_UIS Database_Sep2007",3044975,3027905,2996286,2983057,2981321,2971673,3081123
"Gabon","Female","UNESCO_UIS Database_Sep2007",40097,41501,41501,41501,41501,41501,41501
"Gabon","Male","UNESCO_UIS Database_Sep2007",46446,48071,48071,48071,48071,48071,48071
"Gambia The","Female","UNESCO_UIS Database_Sep2007",19803,21611,23485,32305,33600,38199,38199
"Gambia The","Male","UNESCO_UIS Database_Sep2007",30548,31740,33270,43034,40540,46569,46569
"Georgia","Female","UNESCO_UIS Database_Sep2007",214352,215273,218576,219307,220130,155763,155167
"Georgia","Male","UNESCO_UIS Database_Sep2007",225919,225876,226398,228074,230215,164003,160261
"Germany","Female","UNESCO_UIS Database_Sep2007",3948598,4016835,4056663,4092629,4075865,4043861,3984597
"Germany","Male","UNESCO_UIS Database_Sep2007",4236548,4290442,4330862,4372521,4370694,4338069,4283039
"Ghana","Female","UNESCO_UIS Database_Sep2007",446898,464860,460011,497045,527365,568279,607980
"Ghana","Male","UNESCO_UIS Database_Sep2007",577237,591756,569247,610202,643399,708391,742430
"Gibraltar","Female","UNESCO_UIS Database_Sep2007",650,708,761,761,761,761,761
"Gibraltar","Male","UNESCO_UIS Database_Sep2007",720,763,789,789,789,789,789
"Greece","Female","UNESCO_UIS Database_Sep2007",377222,364800,365144,346406,346406,335888,341452
"Greece","Male","UNESCO_UIS Database_Sep2007",393661,373944,378318,367444,367444,359950,374085
"Grenada","Female","UNESCO_UIS Database_Sep2007",7649,7649,7649,7649,7273,7027,6845
"Grenada","Male","UNESCO_UIS Database_Sep2007",6818,6818,6818,6818,7587,6633,6830
"Guatemala","Female","UNESCO_UIS Database_Sep2007",197825,236082,258239,286206,308608,331009,358880
"Guatemala","Male","UNESCO_UIS Database_Sep2007",237087,267802,289674,322214,344884,367552,395616
"Guinea","Female","UNESCO_UIS Database_Sep2007",44736,54179,67627,81224,96309,109171,141379
"Guinea","Male","UNESCO_UIS Database_Sep2007",127198,148908,172940,197949,214173,239609,282100
"Guinea-Bissau","Female","UNESCO_UIS Database_Sep2007",9121,9121,9410,9410,9410,9410,9410
"Guinea-Bissau","Male","UNESCO_UIS Database_Sep2007",16615,16615,17133,17133,17133,17133,17133
"Guyana","Female","UNESCO_UIS Database_Sep2007",33157,34781,36235,34803,35031,35031,35298
"Guyana","Male","UNESCO_UIS Database_Sep2007",33338,34808,35793,34456,33948,33948,35317
"Honduras","Female","UNESCO_UIS Database_Sep2007",302710,302710,302710,302710,302710,302710,308511
